#CODE;NAME;x
#CODE_mind_desc;DESCRIPTION;x


add_saoshyant_mind;--------MC: Add Saoshyant;x
add_saoshyant_mind_desc;Add saoshyant;x

remove_saoshyant_mind;--------MC: Remove Saoshyant;x
remove_saoshyant_mind_desc;Remove saoshyant;x

add_saoshyant_descendant_mind;--------MC: Add Saoshyant Descendant;x
add_saoshyant_descendant_mind_desc;Add saoshyant descendant;x

remove_saoshyant_descendant_mind;--------MC: Remove Saoshyant Descendant;x
remove_saoshyant_descendant_mind_desc;Remove saoshyant descendant;x

add_viking_mind;--------MC: Add Viking;x
add_viking_mind_desc;Add viking;x

remove_viking_mind;--------MC: Remove Viking;x
remove_viking_mind_desc;Remove viking;x

add_seaking_mind;--------MC: Add Sea King;x
add_seaking_mind_desc;Add sea king;x

remove_seaking_mind;--------MC: Remove Sea King;x
remove_seaking_mind_desc;Remove sea king;x

remove_legit_bastard_mind;--------MC: Remove Legit. Bastard;x
remove_legit_bastard_mind_desc;Remove legitimized bastard;x

remove_bastard_mind;--------MC: Remove Bastard;x
remove_bastard_mind_desc;Remove bastard;x

remove_kinslayer_mind;--------MC: Remove Kinslayer;x
remove_kinslayer_mind_desc;MC: Remove kinslayer;x

remove_Ascetic_mind;--------MC: Remove Ascetic;x
remove_Ascetic_mind_desc;MC: Remove ascetic;x

add_born_in_the_purple_mind;--------MC: Add Born in Purple;x
add_born_in_the_purple_mind_desc;Add born in purple;x

remove_born_in_the_purple_mind;--------MC: Remove Born in Purple;x
remove_born_in_the_purple_mind_desc;Remove born in purple;x

add_augustus_mind;--------MC: Add Augustus;x
add_augustus_mind_desc;Add augustus;x

remove_augustus_mind;--------MC: Remove Augustus;x
remove_augustus_mind_desc;Remove augustus;x

add_berserker_mind;--------MC: Add Berserker;x
add_berserker_mind_desc;Add berserker;x

remove_berserker_mind;--------MC: Remove Berserker;x
remove_berserker_mind_desc;Remove berserker;x

add_lovers_pox_mind;--------MC: Add Lover's Pox;x
add_lovers_pox_mind_desc;Add lover's pox;x

remove_lovers_pox_mind;--------MC: Remove Lover's Pox;x
remove_lovers_pox_mind_desc;Remove lover's pox;x

add_varangian_mind;--------MC: Add Varangian;x
add_varangian_mind_desc;Add varangian;x

remove_varangian_mind;--------MC: Remove Varangian;x
remove_varangian_mind_desc;Remove varangian;x
